Model,Indicator,RMSE,MAPE
ARIMA,CPI_Inflation,,
ARIMA,GDP_Growth,0.923632,11.460149
ARIMA,Unemployment_Rate,,
ARIMA,Repo_Rate,,
ARIMA,IIP_Growth,,
VAR,CPI_Inflation,0.797892,88.853
VAR,GDP_Growth,0.159565,91.4882
VAR,Unemployment_Rate,0.07292,244.607
VAR,Repo_Rate,,
VAR,IIP_Growth,,
LSTM,CPI_Inflation,1.379521,37.0611
LSTM,GDP_Growth,5.809353,78.8968
LSTM,Unemployment_Rate,1.387915,33.0168
LSTM,Repo_Rate,,
LSTM,IIP_Growth,,
Hybrid,CPI_Inflation,0.760562,84.2781
Hybrid,GDP_Growth,0.190045,102.0353
Hybrid,Unemployment_Rate,0.156515,147.4199
Hybrid,Repo_Rate,,
Hybrid,IIP_Growth,,
